resourceId,oper_inst_nm,charging_station,charger_id,charger_type,fclt_se_l,fclt_se_s,region,sgg,address,utztn_psblty_tm,utztn_user_lmt,charging_capacity,con_pvsn,remark,lat,lon,charger_count
50,서울시,강동문화재단,01,AC완속,공공시설,지자체시설,서울특별시,"강동구 ",서울특별시 강동구 동남로 870 강동아트센터,24시간 이용가능,,완속(7kW단독),,,37.551005127,127.15762760900002,3
51,서울시,개봉1동 노외공영주차장,01,AC완속,주차시설,공영주차장,서울특별시,"구로구 ",서울특별시 구로구 경인로33길 51 노외공영주차장,24시간 이용가능,,완속(7kW단독),,,37.500219919,126.851149354,2
52,서울시,개화산역 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"강서구 ","서울특별시 강서구 양천로 22 (방화동, 개화산역 공영주차장) 지상1층 진입로 직진 10M",24시간 이용가능,,급속(50kW단독),,,37.57225062999999,126.80611183300002,7
53,서울시,고척스카이돔,01,DC콤보,공공시설,공공기관,서울특별시,"구로구 ",서울특별시 구로구 안양천로 545 고척스카이돔,24시간 이용가능,,급속(90kW동시),,,37.49581181399999,126.86739628199999,7
54,서울시,곰달래5길 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"양천구 ",서울특별시 양천구 곰달래로5길 17 신월프라자 앞 주차구획신월프라자 앞,24시간 이용가능,,급속(50kW단독),,,37.53114118,126.833570473,2
55,서울시,공릉동 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"노원구 ",서울특별시 노원구 동일로198길 42 53-15 구획주차구획 53-15,24시간 이용가능,,급속(50kW단독),,,37.629111289,127.073957354,1
56,서울시,광진구 자양동 거주자우선주차장 가로등형 충전기,01,DC콤보,공동주택시설,아파트,서울특별시,"광진구 ",서울특별시 광진구 자양번영로3길 65 (서울특별시 광진구 뚝섬로36길 39 전기차충전소)구획번호 620-2 옆,24시간 이용가능,,급속(50kW단독),,,37.532472288,127.071142483,1
57,서울시,교통공원길 공영주차장 전기차 충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 신천동 10-2 노상공영주차장노상공영주차장,24시간 이용가능,,급속(50kW단독),,,37.51636905498039,127.10351048336972,2
58,서울시,구로5동 마을공동공영주차장,01,AC완속,공공시설,지자체시설,서울특별시,"구로구 ",서울특별시 구로구 공원로7길 22-10 구로5동 마을공동공영주차장,24시간 이용가능,,완속(7kW단독),,,37.502260177,126.887609777,2
59,서울시,국립한글박물관 지하주차장,01,AC완속,공공시설,공공기관,서울특별시,"용산구 ",서울특별시 용산구 서빙고로 139 지하주차장 입구 좌측지하주차장 입구 좌측,10:00~18:00,,완속(7kW단독),,18시 이후 출차불가,37.52105929,126.98049621,2
60,서울시,기업은행 무교지점 앞 가로등형 충전소,01,DC콤보,주차시설,일반주차장,서울특별시,"중구 ",서울특별시 중구 무교로 20 전기차충전소기업은행 앞 도로변 택시승차대,24시간 이용가능,,급속(50kW단독),,,37.567630541,126.979564413,1
61,서울시,난곡스마트 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"관악구 ",서울특별시 관악구 난곡로26길 94 옥상층옥상층 엘레베이터 입구 좌측,24시간 이용가능,,급속(100kW단독),,,37.46894044,126.924309392,2
62,서울시,남부초 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"관악구 ",서울특별시 관악구 남부순환로163길 14 지하 1층 진입로 오른쪽 맨끝공영주차장,24시간 이용가능,,급속(50kW단독),,,37.485394121,126.922668105,1
63,서울시,남산청사,01,AC완속,공공시설,지자체시설,서울특별시,"중구 ","서울특별시 중구 삼일대로 231 (예장동, 남산별관) 중부공원여가센터 앞 왼쪽 차단기 뒷편남산청사",평일 09:00~18:00,,완속(7kW단독),,,37.555623554,126.992199491,2
64,서울시,노원세무서 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"도봉구 ",서울특별시 도봉구 노해로69길 14 06-90 구획거주자우선주차장 06-90 구획,24시간 이용가능,,급속(50kW단독),,,37.653451661,127.05150456,1
65,서울시,노원이지센터,01,DC콤보,주차시설,일반주차장,서울특별시,"노원구 ",서울특별시 노원구 한글비석로 97 상가 주차장상가 주차장,24시간 이용가능,,급속(50kW단독),,,37.63823924,127.072801937,3
66,서울시,노원자원회수시설,01,DC콤보,공공시설,공공기관,서울특별시,"노원구 ",서울특별시 노원구 덕릉로70길 99 노원자원회수시설노원자원회수시설 지하주차장,06:00~23:00,,급속(100kW동시),,,37.639854297,127.059006064,5
67,서울시,논현 1호 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"강남구 ",서울특별시 강남구 학동로6길 19 2층 램프 인근2층 램프 진입구간,24시간 이용가능,,급속(100kW동시),,,37.510676345,127.024606868,2
68,서울시,논현 2호 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"강남구 ",서울특별시 강남구 학동로20길 13 1층 입구 좌측1층 정산사무실 앞,24시간 이용가능,,급속(100kW동시),,,37.512207674,127.02856321,2
69,서울시,논현2동 주민센터,01,AC완속,공공시설,주민센터,서울특별시,"강남구 ",서울특별시 강남구 학동로43길 17 지상주차장지상 주차장,24시간 이용가능,,완속(7kW단독),,,37.517246905,127.037193298,1
70,서울시,논현로28길 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"강남구 ",서울특별시 강남구 논현로28길 25 주차정산소 옆,24시간 이용가능,,급속(50kW단독),,,37.48363334,127.043859049,1
71,서울시,누상공영주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"종로구 ",서울특별시 종로구 누상동 166-50 누상공영주차장누상공영주차장,24시간 이용가능,,급속(50kW단독),,,37.580296234114705,126.96457714484393,2
72,서울시,대궐재어린이공원 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"서대문구 ",서울특별시 서대문구 연희동 73-8 16-13구획16-13구획,24시간 이용가능,,급속(50kW단독),,,37.57403227505682,126.9370980741621,1
73,서울시,대방동(서울공고) 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"동작구 ",서울특별시 동작구 대방동1길 46 보라매역 7번출구 인근 116번 구획114번 구획,24시간 이용가능,,급속(50kW단독),,,37.500432393,126.922881593,1
74,서울시,도곡정보문화도서관,01,AC완속,공공시설,주민센터,서울특별시,"강남구 ","서울특별시 강남구 도곡로18길 57 (도곡동, 도곡정보문화도서관) 지상1층 정문 뒷편주차장후문 주차장",24시간 이용가능,,완속(7kW단독),,,37.488305169,127.038871491,2
75,서울시,도봉동 거주자우선주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"도봉구 ",서울특별시 도봉구 도봉로169나길 34 건물 앞 거주자우선주차장,24시간 이용가능,,급속(50kW단독),,,37.678177809,127.043499004,1
76,서울시,도봉동 실내스포츠센터,01,DC콤보,공공시설,관공서,서울특별시,"도봉구 ",서울특별시 도봉구 마들로 805 1층 주차장1층 주차장,24시간 이용가능,,급속(100kW동시),,,37.681420987,127.050253497,2
77,서울시,동대문구청,01,DC콤보,공공시설,공공기관,서울특별시,"동대문구 ",서울특별시 동대문구 천호대로 145 동대문구청동대문구청,24시간 이용가능,,급속(100kW단독),,,37.57435851899999,127.039962351,7
78,서울시,동작구청,01,DC차데모+AC3상+DC콤보,공공시설,관공서,서울특별시,"동작구 ","서울특별시 동작구 장승배기로 161 (노량진동, 동작구청) 교통종합민원실 앞 주차장별관앞 부설주차장",평일 09:00~18:00,,급속(50kW단독),,,37.511970096,126.939767473,1
79,서울시,동작구청 후문 가로등형 충전소,01,DC콤보,기타시설,기타,서울특별시,"동작구 ",서울특별시 동작구 장승배기로 161 (서울특별시 동작구 노량진로 8길 65 전기차충전소)동작구청 후문,24시간 이용가능,,급속(50kW단독),,,37.512426719,126.939006253,1
80,서울시,드림디포 앞 가로등형 충전소,01,DC콤보,기타시설,기타,서울특별시,"마포구 ",서울특별시 마포구 토정로 271 전기차충전소드림디포 앞,24시간 이용가능,,급속(50kW단독),,,37.5424512,126.940312078,1
81,서울시,로봇과학관,01,AC완속,공공시설,지자체시설,서울특별시,"도봉구 ",서울특별시 도봉구 마들로13길 56 로봇과학관,24시간 이용가능,,완속(7kW단독),,,37.655574434,127.049506199,1
82,서울시,마곡중앙광장공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"강서구 ","서울특별시 강서구 마곡중앙5로 지하9 (마곡동, 마곡중앙광장) 공영주차장 지하2층 진입로 왼쪽 맨끝",24시간,,급속(40kW단독),,기기 고장(이용 불가),37.569217298,126.826132229,5
83,서울시,시립서부노인전문요양센터,01,AC완속,공공시설,공공기관,서울특별시,"마포구 ",서울특별시 마포구 월드컵로36길 15 지상 주차장지상 자전거 거치대 좌측,24시간 이용가능,,완속(7kW단독),,,37.566488094,126.902467501,1
84,서울시,신대방동 거주자우선주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"동작구 ",서울특별시 동작구 시흥대로 596 가6번 구획가 6번 구획,24시간 이용가능,,급속(50kW단독),,,37.485622469,126.904335429,1
85,서울시,신월5동 복개 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"양천구 ",서울특별시 양천구 남부순환로 331 메디힐병원 뒤 요금정산소 인근요금정산소 옆,24시간 이용가능,,급속(50kW단독),,,37.537254144,126.827836496,1
86,서울시,신정4동길 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"양천구 ",서울특별시 양천구 신정중앙로 35 쌍용자동차 앞쌍용자동차 앞,24시간 이용가능,,급속(50kW단독),,,37.527892748,126.855310533,2
